# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:38:53 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0250 3.2021e+05 1.3024e+05 5.1222e+05 1.4715e+05 4.8942e+05 2.6164e+05 3.9457e+05 2.6819e+05 3.7223e+05 2.5088e+05 3.4082e+05 4.4420e+05 2.2835e+05 4.8942e+05 1.4715e+05
0.0750 9.5400e+05 3.8984e+05 1.5226e+06 4.4034e+05 1.4542e+06 7.7939e+05 1.1757e+06 7.9927e+05 1.1087e+06 7.5005e+05 1.0142e+06 1.3177e+06 6.8144e+05 1.4542e+06 4.4034e+05
0.1250 1.5760e+06 6.4677e+05 2.5099e+06 7.3031e+05 2.3963e+06 1.2876e+06 1.9421e+06 1.3208e+06 1.8312e+06 1.2429e+06 1.6738e+06 2.1684e+06 1.1274e+06 2.3963e+06 7.3031e+05
0.1750 2.1877e+06 9.0135e+05 3.4770e+06 1.0175e+06 3.3188e+06 1.7877e+06 2.6956e+06 1.8339e+06 2.5416e+06 1.7302e+06 2.3214e+06 2.9994e+06 1.5673e+06 3.3188e+06 1.0175e+06
0.2250 2.7906e+06 1.1539e+06 4.4266e+06 1.3022e+06 4.2238e+06 2.2806e+06 3.4380e+06 2.3398e+06 3.2415e+06 2.2126e+06 2.9590e+06 3.8133e+06 2.0019e+06 4.2238e+06 1.3022e+06
0.2750 3.3853e+06 1.4045e+06 5.3598e+06 1.5845e+06 5.1129e+06 2.7670e+06 4.1699e+06 2.8389e+06 3.9317e+06 2.6902e+06 3.5872e+06 4.6119e+06 2.4316e+06 5.1129e+06 1.5845e+06
0.3250 3.9719e+06 1.6531e+06 6.2775e+06 1.8645e+06 5.9867e+06 3.2471e+06 4.8917e+06 3.3314e+06 4.6125e+06 3.1631e+06 4.2065e+06 5.3962e+06 2.8565e+06 5.9867e+06 1.8645e+06
0.3750 4.5506e+06 1.8997e+06 7.1799e+06 2.1420e+06 6.8457e+06 3.7209e+06 5.6031e+06 3.8173e+06 5.2839e+06 3.6310e+06 4.8171e+06 6.1669e+06 3.2764e+06 6.8457e+06 2.1420e+06
0.4250 5.1212e+06 2.1441e+06 8.0671e+06 2.4169e+06 7.6900e+06 4.1886e+06 6.3040e+06 4.2966e+06 5.9458e+06 4.0937e+06 5.4190e+06 6.9242e+06 3.6913e+06 7.6900e+06 2.4169e+06
0.4750 5.6835e+06 2.3862e+06 8.9389e+06 2.6890e+06 8.5196e+06 4.6498e+06 6.9940e+06 4.7690e+06 6.5979e+06 4.5509e+06 6.0119e+06 7.6684e+06 4.1008e+06 8.5196e+06 2.6890e+06
0.5250 6.2370e+06 2.6259e+06 9.7948e+06 2.9580e+06 9.3341e+06 5.1044e+06 7.6723e+06 5.2342e+06 7.2397e+06 5.0022e+06 6.5954e+06 8.3992e+06 4.5046e+06 9.3341e+06 2.9580e+06
0.5750 6.7813e+06 2.8631e+06 1.0634e+07 3.2240e+06 1.0132e+07 5.5519e+06 8.3386e+06 5.6919e+06 7.8707e+06 5.4473e+06 7.1692e+06 9.1157e+06 4.9024e+06 1.0132e+07 3.2240e+06
0.6250 7.3159e+06 3.0975e+06 1.1455e+07 3.4867e+06 1.0913e+07 5.9920e+06 8.9922e+06 6.1416e+06 8.4903e+06 5.8859e+06 7.7327e+06 9.8172e+06 5.2941e+06 1.0913e+07 3.4867e+06
0.6750 7.8404e+06 3.3291e+06 1.2257e+07 3.7458e+06 1.1676e+07 6.4244e+06 9.6323e+06 6.5828e+06 9.0979e+06 6.3176e+06 8.2854e+06 1.0503e+07 5.6792e+06 1.1676e+07 3.7458e+06
0.7250 8.3540e+06 3.5576e+06 1.3040e+07 4.0012e+06 1.2421e+07 6.8485e+06 1.0258e+07 7.0153e+06 9.6928e+06 6.7420e+06 8.8268e+06 1.1173e+07 6.0572e+06 1.2421e+07 4.0012e+06
0.7750 8.8565e+06 3.7828e+06 1.3802e+07 4.2526e+06 1.3146e+07 7.2641e+06 1.0870e+07 7.4385e+06 1.0274e+07 7.1586e+06 9.3562e+06 1.1826e+07 6.4279e+06 1.3146e+07 4.2526e+06
0.8250 9.3472e+06 4.0046e+06 1.4544e+07 4.4998e+06 1.3851e+07 7.6707e+06 1.1465e+07 7.8521e+06 1.0842e+07 7.5671e+06 9.8732e+06 1.2461e+07 6.7908e+06 1.3851e+07 4.4998e+06
0.8750 9.8258e+06 4.2228e+06 1.5265e+07 4.7427e+06 1.4536e+07 8.0679e+06 1.2045e+07 8.2557e+06 1.1396e+07 7.9673e+06 1.0377e+07 1.3079e+07 7.1455e+06 1.4536e+07 4.7427e+06
0.9250 1.0292e+07 4.4372e+06 1.5963e+07 4.9810e+06 1.5200e+07 8.4554e+06 1.2609e+07 8.6490e+06 1.1935e+07 8.3587e+06 1.0868e+07 1.3678e+07 7.4918e+06 1.5200e+07 4.9810e+06
0.9750 1.0745e+07 4.6477e+06 1.6639e+07 5.2146e+06 1.5843e+07 8.8330e+06 1.3156e+07 9.0318e+06 1.2458e+07 8.7411e+06 1.1345e+07 1.4259e+07 7.8294e+06 1.5843e+07 5.2146e+06
