# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:39:07 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0250 1.7060e+05 8.1424e+04 2.7179e+05 9.1378e+04 2.5904e+05 1.3735e+05 2.1358e+05 1.4672e+05 1.9449e+05 1.5280e+05 1.6973e+05 2.2481e+05 1.2215e+05 2.5904e+05 9.1378e+04
0.0750 5.0790e+05 2.4343e+05 8.0717e+05 2.7316e+05 7.6892e+05 4.0887e+05 6.3592e+05 4.3692e+05 5.7888e+05 4.5625e+05 5.0505e+05 6.6701e+05 3.6430e+05 7.6892e+05 2.7316e+05
0.1250 8.3851e+05 4.0344e+05 1.3295e+06 4.5264e+05 1.2660e+06 6.7509e+05 1.0497e+06 7.2153e+05 9.5550e+05 7.5521e+05 8.3343e+05 1.0978e+06 6.0240e+05 1.2660e+06 4.5264e+05
0.1750 1.1634e+06 5.6173e+05 1.8406e+06 6.3012e+05 1.7521e+06 9.3678e+05 1.4562e+06 1.0013e+06 1.3255e+06 1.0503e+06 1.1560e+06 1.5188e+06 8.3708e+05 1.7521e+06 6.3012e+05
0.2250 1.4834e+06 7.1853e+05 2.3420e+06 8.0589e+05 2.2286e+06 1.1946e+06 1.8564e+06 1.2770e+06 1.6898e+06 1.3419e+06 1.4735e+06 1.9316e+06 1.0688e+06 2.2286e+06 8.0589e+05
0.2750 1.7988e+06 8.7391e+05 2.8344e+06 9.8001e+05 2.6963e+06 1.4488e+06 2.2508e+06 1.5487e+06 2.0488e+06 1.6302e+06 1.7865e+06 2.3368e+06 1.2979e+06 2.6963e+06 9.8001e+05
0.3250 2.1098e+06 1.0279e+06 3.3183e+06 1.1525e+06 3.1558e+06 1.6996e+06 2.6395e+06 1.8168e+06 2.4028e+06 1.9153e+06 2.0951e+06 2.7350e+06 1.5242e+06 3.1558e+06 1.1525e+06
0.3750 2.4164e+06 1.1804e+06 3.7939e+06 1.3232e+06 3.6072e+06 1.9470e+06 3.0224e+06 2.0812e+06 2.7517e+06 2.1970e+06 2.3995e+06 3.1265e+06 1.7478e+06 3.6072e+06 1.3232e+06
0.4250 2.7186e+06 1.3313e+06 4.2613e+06 1.4922e+06 4.0506e+06 2.1910e+06 3.3994e+06 2.3417e+06 3.0955e+06 2.4752e+06 2.6994e+06 3.5114e+06 1.9686e+06 4.0506e+06 1.4922e+06
0.4750 3.0161e+06 1.4807e+06 4.7202e+06 1.6591e+06 4.4861e+06 2.4316e+06 3.7702e+06 2.5984e+06 3.4339e+06 2.7497e+06 2.9947e+06 3.8896e+06 2.1863e+06 4.4861e+06 1.6591e+06
